api_id,name,first_name,last_name,email,phone_number,created_at,approval_status,checked_in_at,custom_source,qr_code_url,amount,amount_tax,amount_discount,currency,coupon_code,eth_address,solana_address,survey_response_rating,survey_response_feedback,ticket_type_id,ticket_name,What is your LinkedIn profile?,What company do you work for?,What is your job title?,Link to something you've built,Whats your most impressive achievement in the last 3 years?,What is your main goal for this hackathon?,Terms and Conditions
gst-7gSGlGpMlUzgNwCP,Roisin Nakamura,Roisin,Nakamura,roisin_nakamura@icloud.com,,2026-02-16T10:57:36.000Z,approved,2026-02-21T03:05:10.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=2klyuj9Bvt9uxVAT,$0.00,$0.00,$0.00,usd,,,,5.0,Best hackathon I have been to in London. Will come back.,evtticktyp-FND0000001,Founder,https://linkedin.com/in/roisin-nakamura-571,Celonis,CEO,https://huggingface.co/spaces/roisin-nakamura,Implemented a recommendation engine that increased average session length by 22%.,Network with engineers building at the frontier.,Agreed
gst-ByT8KG9ssn1bYQrI,Luca Kowalski,Luca,Kowalski,lkowalski@outlook.com,,2026-02-18T01:00:25.000Z,approved,2026-02-21T02:02:12.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=I5jcwiwKoYfy4TSX,$0.00,$0.00,$0.00,usd,,,,5.0,Amazing community. The talks before hacking started were excellent.,evtticktyp-FND0000001,Founder,https://linkedin.com/in/luca-kowalski-326,ex-McKinsey,Founder,,Designed and deployed a real-time fraud detection system processing 1M+ transactions per day.,Meet potential hires for a project I am starting.,Agreed
gst-cYxW5u2A5hVU05NN,Emre Osei,Emre,Osei,emre_osei@fastmail.com,,2026-02-18T20:07:33.000Z,approved,2026-02-21T03:25:49.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=dGtJuRjP98UJfAWj,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-PFND000001,Pre-Founder,https://linkedin.com/in/emre-osei-227,Trade Republic,Product Manager - AI,https://github.com/emre-osei/open-source-lib,"Led a team that automated 70% of manual ops workflows, saving 200+ engineer-hours per month.",Find a co-founder with complementary skills.,Agreed
gst-yARVDmyJI9GpqAQJ,Hayden Gupta,Hayden,Gupta,haydengup@proton.me,,2026-02-17T18:39:02.000Z,approved,2026-02-21T01:45:51.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=gzwlvOVkvYXMB5oQ,$0.00,$0.00,$0.00,usd,,,,4.0,Very impressed by the calibre of projects. Learned a lot.,evtticktyp-PFND000001,Pre-Founder,http://linkedin.com/in/hayden-gupta-125,Personio,Senior PM,https://github.com/haydengupta/demo-project,"Grew an open-source library from 0 to 3,400 GitHub stars in under a year.",Find a co-founder with complementary skills.,Agreed
gst-aRgBbmHmGqDTiRbK,Elliot Chen,Elliot,Chen,elliot_chen@pm.me,,2026-02-16T16:10:57.000Z,approved,2026-02-21T02:28:07.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=PckrWMdOayq0O1b1,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/elliot-chen-243,Monzo,Data Engineer,https://github.com/elliot-chen/open-source-lib,Completed a PhD in ML with a focus on out-of-distribution generalisation.,Network with engineers building at the frontier.,Agreed
gst-ELfm7ISc5sEUbQws,Avery Gupta,Avery,Gupta,averygup@fastmail.com,,2026-02-19T07:20:46.000Z,approved,2026-02-21T01:53:31.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=98rdpy9966nvyiTG,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-PFND000001,Pre-Founder,https://linkedin.com/in/avery-gupta-199,Personio,VP Product,https://github.com/avery-gupta/open-source-lib,Implemented a recommendation engine that increased average session length by 22%.,Network with engineers building at the frontier.,Agreed
gst-BiOKQmiQ34A4VOJj,Finley Fischer,Finley,Fischer,finley_fischer@icloud.com,,2026-02-17T14:23:21.000Z,approved,2026-02-21T00:52:15.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=eHSl0jbt87sUYNTj,$0.00,$0.00,$0.00,usd,,,,4.0,Very impressed by the calibre of projects. Learned a lot.,evtticktyp-FND0000001,Founder,https://linkedin.com/in/finley-fischer-838,N26,Founder,https://github.com/finley-fischer/open-source-lib,"Rebuilt the data platform for a Series B startup, cutting infrastructure costs by 40%.",Find a co-founder with complementary skills.,Agreed
gst-obeWi0DOlyDkoz85,Jordan Watanabe,Jordan,Watanabe,jordan56@icloud.com,,2026-02-16T17:34:43.000Z,approved,2026-02-21T01:21:15.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=6nPmmk7BMQ13AWLZ,$0.00,$0.00,$0.00,usd,,,,5.0,Solid event. The partner tech tracks were well thought out.,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/jordan-watanabe-927,AUTO1,Research Engineer,https://huggingface.co/spaces/jordan-watanabe,"Led a team that automated 70% of manual ops workflows, saving 200+ engineer-hours per month.",Build something I can show to early customers.,Agreed
gst-BZc9GyTIFNdsysZC,Mira Tanaka,Mira,Tanaka,mira.tanaka@icloud.com,,2026-02-18T04:31:42.000Z,approved,2026-02-21T03:25:02.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=AMdGiZCShW6RizBl,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-FND0000001,Founder,http://linkedin.com/in/mira-tanaka-752,Freelance,CEO,https://github.com/miratanaka/demo-project,Led technical due diligence for a €20M Series A at a VC firm.,Network with engineers building at the frontier.,Agreed
gst-fRNfRT8LjIcku21k,Santiago Ferreira,Santiago,Ferreira,santiago_ferreira@gmail.com,,2026-02-19T00:15:54.000Z,approved,2026-02-21T01:37:50.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=iVdtT7rl37aVaEEY,$0.00,$0.00,$0.00,usd,,,,5.0,"Great vibe, excellent mentors. Would love a longer format next time.",evtticktyp-PFND000001,Pre-Founder,https://linkedin.com/in/santiago-ferreira-151,Aleph Alpha,Product Manager,https://github.com/santiagoferreira/demo-project,Implemented a recommendation engine that increased average session length by 22%.,Meet potential hires for a project I am starting.,Agreed
gst-BLa2rMYmldvjcJLu,Catalin Bjork,Catalin,Bjork,catalinbjo@hey.com,,2026-02-17T01:19:18.000Z,approved,2026-02-21T01:21:02.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=fg9krORJI7UwcVu3,$0.00,$0.00,$0.00,usd,,,,3.0,,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/catalin-bjork-518,Klarna,Senior Software Engineer,,Co-founded a B2B SaaS tool reaching €250K ARR in 18 months with zero outside funding.,Build something I can show to early customers.,Agreed
gst-RrGGRLgTM9DQ59rL,Sage Adeyemi,Sage,Adeyemi,sage.adeyemi@fastmail.com,,2026-02-18T21:24:28.000Z,approved,2026-02-21T01:57:05.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=tG9viIGNElLR8abM,$0.00,$0.00,$0.00,usd,,,,3.0,"Great vibe, excellent mentors. Would love a longer format next time.",evtticktyp-ENG0000001,Engineer,http://linkedin.com/in/sage-adeyemi-431,Zalando,Principal Engineer,https://github.com/sageadeyemi/demo-project,Published a paper at NeurIPS on efficient fine-tuning of large language models.,Network with engineers building at the frontier.,Agreed
gst-vXnNQpesIVhuyJ7Z,Lena Adeyemi,Lena,Adeyemi,lena_adeyemi@pm.me,,2026-02-18T18:13:20.000Z,approved,2026-02-21T02:16:45.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=mZ5DDcijC13CY5dG,$0.00,$0.00,$0.00,usd,,,,4.0,"Really well organised, loved the energy and quality of other participants.",evtticktyp-RES0000001,Researcher / Student,https://linkedin.com/in/lena-adeyemi-106,Faculty,Researcher,https://github.com/lena-adeyemi/open-source-lib,Led technical due diligence for a €20M Series A at a VC firm.,Win the hackathon and validate the concept.,Agreed
gst-8rb8M0JyK1URtbzE,Casey Celik,Casey,Celik,casey40@proton.me,,2026-02-18T00:25:36.000Z,approved,2026-02-21T01:49:27.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=oC6nsgWW4BbDFl5T,$0.00,$0.00,$0.00,usd,,,,5.0,Amazing community. The talks before hacking started were excellent.,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/casey-celik-860,ex-Meta,Staff Engineer,https://github.com/caseycelik/demo-project,Created a developer tool that reduced onboarding time from 2 weeks to 3 days.,Learn by doing — I want to use tools I have not worked with before.,Agreed
gst-mcy1htc02u3gVUbV,Charlie Gheorghe,Charlie,Gheorghe,cgheorghe@fastmail.com,,2026-02-18T16:28:21.000Z,approved,2026-02-21T01:47:55.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=NnmrHVPqjh7IgHIq,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-FND0000001,Founder,https://linkedin.com/in/charlie-gheorghe-706,Own startup,Founder,https://huggingface.co/spaces/charlie-gheorghe,Scaled a backend system from 10K to 5M daily active users across two data centres.,Have fun and meet interesting people.,Agreed
gst-db4dxfyR3NQBwumV,Elise Ryan,Elise,Ryan,elise.ryan@pm.me,,2026-02-17T01:49:39.000Z,approved,2026-02-21T00:49:49.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=Ye5VJfXRgtNVD6i3,$0.00,$0.00,$0.00,usd,,,,5.0,,evtticktyp-PFND000001,Pre-Founder,https://linkedin.com/in/elise-ryan-221,Deliveroo,Product Manager - AI,,"Shipped 0-to-1 product that acquired 10,000 users in 3 months with no paid marketing.",Win the hackathon and validate the concept.,Agreed
gst-EegD0rvJFzSgIesC,Mehmet Diallo,Mehmet,Diallo,mehmet90@yahoo.com,,2026-02-17T12:33:00.000Z,approved,2026-02-21T01:31:00.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=KopjDemRA8JvRkPT,$0.00,$0.00,$0.00,usd,,,,5.0,Amazing community. The talks before hacking started were excellent.,evtticktyp-ENG0000001,Engineer,http://linkedin.com/in/mehmet-diallo-705,Wayve,Platform Engineer,,Led technical due diligence for a €20M Series A at a VC firm.,Meet potential hires for a project I am starting.,Agreed
gst-Yk7egYVxEOfY34Na,Alex Sahin,Alex,Sahin,alexsah@yahoo.com,,2026-02-16T16:19:29.000Z,approved,2026-02-21T02:15:35.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=jjGyJmQtJ4s6A8vf,$0.00,$0.00,$0.00,usd,,,,5.0,,evtticktyp-FND0000001,Founder,http://linkedin.com/in/alex-sahin-205,Own startup,Technical Co-Founder,https://github.com/alexsahin/demo-project,"Led migration of a monolith to microservices, reducing p99 latency by 60% for 2M+ users.",Have fun and meet interesting people.,Agreed
gst-d38aI8grbAKMSzAn,Sasha Berg,Sasha,Berg,sberg@hey.com,,2026-02-19T07:49:44.000Z,approved,2026-02-21T02:25:52.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=kiI0wzr2haOi2O8i,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-FND0000001,Founder,https://linkedin.com/in/sasha-berg-769,Google,Technical Co-Founder,https://github.com/sasha-berg/open-source-lib,"Grew an open-source library from 0 to 3,400 GitHub stars in under a year.",Build something I can show to early customers.,Agreed
gst-FIBwlLJ0oFzHw8JR,Ingrid Baumann,Ingrid,Baumann,ibaumann@fastmail.com,,2026-02-18T22:38:03.000Z,approved,2026-02-21T02:12:05.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=hDQiT88WCe3fDT7e,$0.00,$0.00,$0.00,usd,,,,4.0,"Great vibe, excellent mentors. Would love a longer format next time.",evtticktyp-FND0000001,Founder,https://linkedin.com/in/ingrid-baumann-618,Darktrace,Indie Hacker,,Ran growth experiments that doubled monthly active users in a B2C app over 6 months.,Have fun and meet interesting people.,Agreed
gst-DFDTA7Xrc5UTIdDk,Ioana Nakamura,Ioana,Nakamura,inakamura@fastmail.com,,2026-02-17T06:45:19.000Z,approved,2026-02-21T02:47:20.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=d9YMrfF0rir1agkK,$0.00,$0.00,$0.00,usd,,,,5.0,,evtticktyp-FND0000001,Founder,https://linkedin.com/in/ioana-nakamura-796,ex-Stripe,CEO,https://github.com/ioananakamura/demo-project,"Grew an open-source library from 0 to 3,400 GitHub stars in under a year.",Meet potential hires for a project I am starting.,Agreed
